What,Paper,differences,min,max,participants,language,X,Link
lexical tone,Cheng et al. 2017,no differences,17,34,40,cantonese,x,https://journals.sagepub.com/doi/10.1177/2041669517711200
lexical stress,Zhang et al. 2018,differences,9,10,31,english,,https://www.sciencedirect.com/science/article/pii/S0304394017310042?via%3Dihub
lexical stress,Chevallier et al. 2009,no differences,11,17,34,english,x,https://www.sciencedirect.com/science/article/pii/S1750946708001323?via%3Dihub
lexical stress,Grossmann et al. 2010,no differences,7,18,31,english,x,https://pubs.asha.org/doi/10.1044/1092-4388%282009/08-0127%29
lexical stress,Paul et al. 2005,no differences,14,21,40,english,x,https://link.springer.com/article/10.1007/s10803-004-1999-1
lexical stress,Gargan & Andrianopoulos 2022,differences,12,20,22,english,,https://www.tandfonline.com/doi/full/10.1080/17549507.2021.2008006
lexical stress,Kargas et al. 2016,differences,18,53,42,english,x,https://pubs.asha.org/doi/10.1044/2015_JSLHR-S-14-0237
syntactic structure,Diehl et al. 2008,differences,11,19,43,english,x,https://www.sciencedirect.com/science/article/pii/S0093934X08000515?via%3Dihub
syntactic structure,Järvinen-Pasley et al. 2008,differences,7,16,42,english,x,https://research.polyu.edu.hk/en/publications/mapping-prosody-and-meaning-by-cantonese-speaking-children-with-a
syntactic structure,Chevallier et al. 2009,no differences,11,17,34,english,x,https://www.sciencedirect.com/science/article/pii/S1750946708001323?via%3Dihub
syntactic structure,Diehl & Paul 2013,no differences,8,16,62,english,x,https://www.cambridge.org/core/journals/applied-psycholinguistics/article/acoustic-and-perceptual-measurements-of-prosody-production-on-the-profiling-elements-of-prosodic-systems-in-children-by-children-with-autism-spectrum-disorders/3DC8EFD1BF7CF7CEAD42A341F5BAE53A
syntactic structure,Paul et al. 2005,no differences,14,21,40,english,x,https://link.springer.com/article/10.1007/s10803-004-1999-1
syntactic structure,Peppé et al. 2007,no differences,4,13,103,english,x,https://pubs.asha.org/doi/10.1044/1092-4388%282007/071%29
syntactic structure,DePriest et al. 2017,no differences,21,56,28,german,x,https://www.nature.com/articles/s41598-017-14538-y
syntactic structure,Hesling et al. 2010,differences,21,25,16,french,x,https://doi.org/10.1371/journal.pone.0011571
syntactic structure,Martzoukou et al. 2017,differences,19,39,40,greek,x,https://link.springer.com/article/10.1007/s10936-017-9500-4
speech acts,Järvinen-Pasley et al. 2008,differences,7,16,42,english,,https://research.polyu.edu.hk/en/publications/mapping-prosody-and-meaning-by-cantonese-speaking-children-with-a
speech acts,Diehl & Paul 2013,differences,8,16,62,english,,https://www.cambridge.org/core/journals/applied-psycholinguistics/article/acoustic-and-perceptual-measurements-of-prosody-production-on-the-profiling-elements-of-prosodic-systems-in-children-by-children-with-autism-spectrum-disorders/3DC8EFD1BF7CF7CEAD42A341F5BAE53A
speech acts,Peppé et al. 2007,no differences,4,13,103,english,,https://pubs.asha.org/doi/10.1044/1092-4388%282007/071%29
speech acts,Chevallier et al. 2009,no differences,11,17,34,english,,https://www.sciencedirect.com/science/article/pii/S1750946708001323?via%3Dihub
speech acts,Filipe et al. 2014,no differences,8,9,29,portuguese,,https://link.springer.com/article/10.1007/s10803-014-2073-2
speech acts,Paul et al. 2005,no differences,14,21,40,english,,https://link.springer.com/article/10.1007/s10803-004-1999-1
speech acts,Wang et al. 2021,no differences,7,11,28,english,,https://link.springer.com/article/10.1007/s10803-021-05220-4
speech acts,Wang et al. 2021,no differences,12,15,20,english,,https://link.springer.com/article/10.1007/s10803-021-05220-4
speech acts,Wang et al. 2021,no differences,18,55,36,english,,https://link.springer.com/article/10.1007/s10803-021-05220-4
speech acts,Hesling et al. 2010,differences,21,25,16,french,,https://doi.org/10.1371/journal.pone.0011571
turn-taking,Heeman et al. 2010,differences,4,8,48,english,,https://aclanthology.org/W10-4346.pdf
information structure,Diehl & Paul 2013,differences,8,16,62,english,,https://www.cambridge.org/core/journals/applied-psycholinguistics/article/acoustic-and-perceptual-measurements-of-prosody-production-on-the-profiling-elements-of-prosodic-systems-in-children-by-children-with-autism-spectrum-disorders/3DC8EFD1BF7CF7CEAD42A341F5BAE53A
information structure,Paul et al. 2005,differences,14,21,40,english,,https://link.springer.com/article/10.1007/s10803-004-1999-1
information structure,Peppé et al. 2007,differences,4,13,103,english,,https://pubs.asha.org/doi/10.1044/1092-4388%282007/071%29
information structure,Segal et al. 2017,differences,15,20,49,hebrew,,https://doi.org/10.1159/000477399
information structure,Grice et al. 2016,differences,21,65,74,german,,https://link.springer.com/article/10.1007/s40167-016-0035-6
information structure,Zhou et al. 2021,no differences,6,10,27,cantonese,,https://research.polyu.edu.hk/en/publications/mapping-prosody-and-meaning-by-cantonese-speaking-children-with-a
information structure,Hesling et al. 2010,differences,21,25,16,french,,https://doi.org/10.1371/journal.pone.0011571
information structure,Globerson et al. 2015,no differences,20,40,55,hebrew,,https://onlinelibrary.wiley.com/doi/10.1002/aur.1432
intentions,Li et al. 2013,differences,8,12,26,cantonese,,https://www.tandfonline.com/doi/full/10.3109/02699206.2012.734893
intentions,Wang et al. 2006,differences,7,16,38,english,,https://doi.org/10.1093/brain/awl032
intentions,Chevallier et al. 2011,no differences,13,16,34,english,,https://www.sciencedirect.com/science/article/pii/S0028393210005221?via%3Dihub
emotional states,Diehl & Paul 2013,differences,8,16,62,english,,https://www.cambridge.org/core/journals/applied-psycholinguistics/article/acoustic-and-perceptual-measurements-of-prosody-production-on-the-profiling-elements-of-prosodic-systems-in-children-by-children-with-autism-spectrum-disorders/3DC8EFD1BF7CF7CEAD42A341F5BAE53A
emotional states,Paul et al. 2005,differences,14,21,40,english,,https://link.springer.com/article/10.1007/s10803-004-1999-1
emotional states,Järvinen-Pasley et al. 2008,differences,7,16,42,english,,https://research.polyu.edu.hk/en/publications/mapping-prosody-and-meaning-by-cantonese-speaking-children-with-a
emotional states,Peppé et al. 2007,differences,4,13,103,english,,https://pubs.asha.org/doi/10.1044/1092-4388%282007/071%29
emotional states,Globerson et al. 2015,differences,20,40,55,hebrew,,https://onlinelibrary.wiley.com/doi/10.1002/aur.1432
emotional states,Hesling et al. 2010,differences,21,25,16,french,,https://doi.org/10.1371/journal.pone.0011571
