What,Paper,differences,min,max,participants,language,Link
lexical tone,Wang & Ding 2022,no differences,4,8,17,mandarin,https://www.isca-archive.org/speechprosody_2022/wang22_speechprosody.html
lexical tone,Chen et al. 2021,differences,6,11,52,mandarin /  cantonese,https://link.springer.com/article/10.1007/s10803-021-05123-4
lexical stress,Arciuli & Bailey 2019,differences,5,10,40,english,https://doi.org/10.1017/s0305000918000272
lexical stress,Arciuli et al. 2020,no differences,3,6,32,italian,https://www.cambridge.org/core/journals/journal-of-child-language/article/lexical-stress-contrastivity-in-italian-children-with-autism-spectrum-disorders-an-exploratory-acoustic-study/B4568E87CBB7E5775BACAE1ED7DAF68A
lexical stress,Grossmann et al. 2010,differences,7,18,31,english,https://pubs.asha.org/doi/10.1044/1092-4388%282009/08-0127%29
lexical stress,Paul et al. 2005,differences,14,21,40,english,https://link.springer.com/article/10.1007/s10803-004-1999-1
lexical stress,Paul et al. 2008,differences,7,28,66,english,https://www.sciencedirect.com/science/article/pii/S1750946707000359?via%3Dihub
lexical stress,Shriberg et al. 2001,no differences,10,50,83,english,https://pubs.asha.org/doi/10.1044/1092-4388%282001/087%29
lexical stress,Gargan & Andrianopoulos 2022,differences,12,20,22,english,https://www.tandfonline.com/doi/full/10.1080/17549507.2021.2008006
lexical stress,Van Santen et al. 2010,no differences,4,8,52,english,https://journals.sagepub.com/doi/10.1177/1362361310363281
syntactic structure,Diehl & Paul 2013,no differences,8,16,62,english,https://www.cambridge.org/core/journals/applied-psycholinguistics/article/acoustic-and-perceptual-measurements-of-prosody-production-on-the-profiling-elements-of-prosodic-systems-in-children-by-children-with-autism-spectrum-disorders/3DC8EFD1BF7CF7CEAD42A341F5BAE53A
syntactic structure,Fosnot & Jun 1999,differences,7,14,12,english, https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS1999/papers/p14_1925.pdf
syntactic structure,Hesling et al. 2010,differences,21,25,16,french,https://doi.org/10.1371/journal.pone.0011571
syntactic structure,Paul et al. 2005,no differences,14,21,40,english,https://link.springer.com/article/10.1007/s10803-004-1999-1
syntactic structure,Peppé et al. 2007,differences,4,13,103,english,https://pubs.asha.org/doi/10.1044/1092-4388%282007/071%29
syntactic structure,Thurber & Tager-Flusberg 1993,no differences,7,14,30,english,https://link.springer.com/article/10.1007/BF01046222
speech acts,Diehl & Paul 2013,no differences,8,16,62,english,https://www.cambridge.org/core/journals/applied-psycholinguistics/article/acoustic-and-perceptual-measurements-of-prosody-production-on-the-profiling-elements-of-prosodic-systems-in-children-by-children-with-autism-spectrum-disorders/3DC8EFD1BF7CF7CEAD42A341F5BAE53A
speech acts,Filipe et al. 2014,differences,8,9,29,portuguese,https://link.springer.com/article/10.1007/s10803-014-2073-2
speech acts,Fosnot & Jun 1999,differences,7,14,12,english, https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS1999/papers/p14_1925.pdf
speech acts,Hesling et al. 2010,differences,21,25,16,french,https://doi.org/10.1371/journal.pone.0011571
speech acts,Peppé et al. 2007,differences,4,13,103,english,https://pubs.asha.org/doi/10.1044/1092-4388%282007/071%29
speech acts,Paul et al. 2005,no differences,14,21,40,english,https://link.springer.com/article/10.1007/s10803-004-1999-1
speech acts,Wang et al. 2021,no differences,7,11,28,english,https://link.springer.com/article/10.1007/s10803-021-05220-4
